                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86512,                 3.1997,                0.92134,                0.01406,                0.95455,                0.03588,                0.03022,                 0.5329,                 3.2668,                0.80752,                  6e-05,                  6e-05,                  6e-05
                      2,                 0.7767,                 2.9415,                0.87485,                0.01457,                      1,                0.07997,                0.06433,                0.62414,                 3.2222,                0.79487,             0.00013861,             0.00013861,             0.00013861
                      3,                0.81515,                 2.4636,                0.83739,                0.01481,                      1,                 0.0972,                0.07909,                0.63079,                 3.1928,                0.79041,             0.00021564,             0.00021564,             0.00021564
                      4,                0.79424,                 1.8317,                0.89725,                0.01515,                      1,                0.23995,                0.14467,                 0.6612,                 3.1321,                0.79248,             0.00029109,             0.00029109,             0.00029109
                      5,                0.75944,                 1.2826,                0.84515,                0.01501,                      1,                0.13719,                0.09016,                 0.7666,                 3.0885,                0.80738,             0.00036495,             0.00036495,             0.00036495
                      6,                0.76555,                 1.0797,                0.85279,                0.01475,                      1,                0.12234,                0.09208,                0.73939,                 3.0101,                0.80786,             0.00043723,             0.00043723,             0.00043723
                      7,                0.75913,                 1.0086,                0.88513,                0.01421,                      1,                0.10847,                0.08016,                0.72634,                 2.9127,                0.80526,             0.00050792,             0.00050792,             0.00050792
                      8,                0.71454,                0.80856,                0.85808,                0.01387,                      1,                0.46285,                 0.3203,                0.99158,                 2.8684,                0.84648,             0.00057703,             0.00057703,             0.00057703
                      9,                 0.7102,                0.72781,                0.86469,                0.01308,                      1,                0.66762,                0.51866,                0.73523,                  2.859,                0.80955,             0.00064456,             0.00064456,             0.00064456
                     10,                0.70611,                0.68848,                0.84124,                 0.0129,                      1,                   0.58,                0.42583,                0.96908,                  2.853,                0.84847,              0.0007105,              0.0007105,              0.0007105
